id:ID,album,autorIds,createdAt,genre,status,title,updatedAt,year:int,youtubeMusic
c16ltomy4,,ART-f37de657-5bcd-4cc6-9bff-7f6d37219ea0;ART-97e507dc-2373-4b86-9844-b82cbde6bd1c,2025-11-17T13:58:06.000Z,,DRAFT,Todas las hojas son del viento,2025-11-17T13:58:06.000Z,,
c1919phir,,ART-68552b64-59e0-4ee6-bba0-208b931a56af,2025-11-15T11:14:51.000Z,,DRAFT,Pila pila,2025-11-15T11:14:51.000Z,,
c1b5ti86b,,ART-d31514e2-a21b-4fcc-a263-46aec8cde514,2025-11-15T10:53:26.000Z,,DRAFT,El loco,2025-11-15T10:54:34.000Z,,
c1i50dgbx,,ART-f840d8b9-b2c5-41c2-bcc6-8fe2dcbe71e6,2025-11-14T11:59:28.000Z,,DRAFT,Mujer amante,2025-11-14T12:00:34.000Z,,https://music.youtube.com/watch?v=R7s6rZuuff8
c1ip5glun,,ART-40f096af-9651-46ed-b430-407b675aa071,2025-11-15T01:13:37.000Z,,DRAFT,"Te Quiero Tanto, No Me Preguntes Más",2025-11-15T01:13:37.000Z,,
c1iw605tv,,ART-91d9b83d-34ff-408a-ab6a-f30e9b85306f,2025-11-17T13:49:08.000Z,,DRAFT,El amor es mas fuerte,2025-11-17T13:49:08.000Z,,
c1ju79w77,,ART-787d7012-9998-4c4d-b131-0dacb943097b,2025-11-15T01:11:13.000Z,,DRAFT,Yo quiero ser,2025-11-15T01:11:13.000Z,,
c1kotwhd2,,ART-af37b03c-3025-458f-8f04-5ee18bf352ec,2025-11-15T00:49:51.000Z,,DRAFT,Fantasmas,2025-11-15T00:49:51.000Z,,
c1m53rgrg,,ART-97e507dc-2373-4b86-9844-b82cbde6bd1c,2025-11-17T14:00:52.000Z,,DRAFT,El anillo del capitan Beto,2025-11-17T14:00:52.000Z,,
c1nn2vm4r,,,2025-11-15T16:31:53.000Z,,DRAFT,Pokemon opening,2025-11-15T16:31:53.000Z,,
c1o9kaya5,,ART-5b8c6086-ec99-48e2-ae3e-c51b70cb5532,2025-11-15T11:13:43.000Z,,DRAFT,Highway to hell,2025-11-15T11:13:43.000Z,,
c1pyuqnip,Test Testosterona,ART-003,2025-09-25T00:00:00.000Z,Pop,DRAFT,Esperando el Impacto,2025-10-19T00:00:00.000Z,2005,https://music.youtube.com/watch?v=nl2_vPev5ig
c1ut4fqkj,,,2025-11-15T16:56:06.000Z,,DRAFT,TEST - Las Nuevas canciones???,2025-11-15T16:56:06.000Z,,
c1uua8142,,ART-38a98203-95e1-4f85-82c8-8b38528c3c33,2025-11-15T01:01:51.000Z,,DRAFT,Soy un adicto a ti,2025-11-15T01:01:51.000Z,,
c1wfhml59,,ART-db95f73b-0137-40ca-9780-bf5600727547,2025-11-16T16:15:20.000Z,,DRAFT,Starman,2025-11-16T16:15:20.000Z,,
c27jzw2f9,,ART-af37b03c-3025-458f-8f04-5ee18bf352ec,2025-11-15T00:57:36.000Z,,DRAFT,Tu misterioso alguien,2025-11-15T00:57:36.000Z,,
c2a8bze2t,,ART-1d063e43-c6ef-42ed-af0c-77b6ff7b23c8,2025-11-15T10:48:42.000Z,,DRAFT,We are the world,2025-11-15T10:48:42.000Z,,
c2klrfcch,,ART-2ab95a76-92b4-4581-b1c4-579705c9d5c5,2025-11-15T11:19:36.000Z,,DRAFT,Torero,2025-11-15T11:19:36.000Z,,
c2lgbes4s,El Leon,ART-001,2025-09-10T00:00:00.000Z,Reggae,DRAFT,"Manuel Santillán, el León",2025-10-19T00:00:00.000Z,1992,https://music.youtube.com/watch?v=3iMg1D-eFXM
c2nqwmhxp,,ART_4aDL_H9Vs,2025-11-14T02:02:27.000Z,,DRAFT,Yendo a la casa de Damian,2025-11-14T02:02:27.000Z,,https://music.youtube.com/watch?v=cU5QKG5a9sM
c2pfcm1dh,,ART-4c4270b4-4619-4ce4-be92-a9ac64e0722e,2025-11-17T13:53:29.000Z,,DRAFT,Me muero por conocerte,2025-11-17T14:07:50.000Z,,https://music.youtube.com/watch?v=mk10O26j5-k
c2ppaoj9q,,ART-d31514e2-a21b-4fcc-a263-46aec8cde514,2025-11-15T00:46:03.000Z,,DRAFT,Desfachatados,2025-11-15T00:46:03.000Z,,
c92xpioah,,ART-39aa2811-998e-438c-8b8b-3bd2060459d6,2025-11-15T00:59:59.000Z,,DRAFT,Estoy saliendo con un chabon,2025-11-15T00:59:59.000Z,,
cf9orfliz,,ART-4d7e3a14-8aa5-4dca-b4bd-ca78c7764eb9,2025-11-15T10:24:48.000Z,,DRAFT,Could you be loved,2025-11-15T10:28:07.000Z,,
cg0i7utzn,,ART-d31514e2-a21b-4fcc-a263-46aec8cde514,2025-11-14T13:06:30.000Z,,DRAFT,Los calientes,2025-11-14T13:06:30.000Z,,
clz30wskt,Gulp!,ART-002,2025-09-10T00:00:00.000Z,Rock Nacional,DRAFT,El Infierno Está Encantador Esta Noche,2025-10-19T00:00:00.000Z,1985,https://music.youtube.com/watch?v=tXzkP1FbdRw
co1z6wxpb,,ART-ef0aaaf8-1054-4e8e-b6dc-4990826a0544,2025-11-15T10:42:15.000Z,,DRAFT,Libre,2025-11-15T10:42:15.000Z,,
cubspd2lh,Ultimo bondi a Finisterre,ART-002,2025-09-25T00:00:00.000Z,Rock Nacional,DRAFT,Estás Frito Angelito,2025-11-14T00:42:08.000Z,1998,https://music.youtube.com/watch?v=k9FokVjN2wg
