id:ID,artistName,cancionId,comment,createdAt,fabricaDate,fabricaId,genre,isJinglazo:boolean,isJinglazoDelDia:boolean,isLive:boolean,isPrecario:boolean,isRepeat:boolean,songTitle,status,timestamp,title,updatedAt
j12fdsh6f,Bersuit Vergarabat,c1pyuqnip,9:06 - Esperando el Impacto - Bersuit Vergarabat - Octa - JINGLAZO EMOTIVO,2025-10-19T00:00:00.000Z,2025-06-05T00:00:00.000Z,0hmxZPp0xq0,Pop,true,false,false,true,false,Esperando el Impacto,DRAFT,00:09:06,,2025-10-19T00:00:00.000Z
j142bvdhe,,CAN-e64a4cad-4072-4cc8-a74d-1230df8cabd5,6:52 ) Sin miedo a nada (me muero por conocerte)- Alex Ubago // Son todos delincuentes - Nico Diaz y la Queen Mariu,2025-11-17T13:52:22.000Z,2025-10-30T00:00:00.000Z,DLe3hojAro0,,false,false,false,false,false,,DRAFT,,Son todos delincuentes,2025-11-17T13:55:45.000Z
j14am0rqk,,c2a8bze2t,,2025-11-15T10:48:23.000Z,,,,,,,,,,DRAFT,,Apertura - Vivan los Jingles,2025-11-15T10:48:23.000Z
j19f8dhtg,,c1ip5glun,26:00 Sergio Denis,2025-11-15T01:13:22.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Sergio Denis,2025-11-15T01:14:50.000Z
j1anqw115,,c1o9kaya5,2:24 Highway to Hell - AC/DC - El Negro Andante,2025-11-15T11:13:08.000Z,6/11/2025,2LbnV-Wss4g,,false,false,false,false,false,,DRAFT,,Que mal que canta Milei,2025-11-16T23:04:20.000Z
j1gc3vdws,,co1z6wxpb,,2025-11-15T10:41:52.000Z,,,,,,,,,,DRAFT,,Apertura - Jingles,2025-11-15T10:41:52.000Z
j1gt3d6d3,,c27jzw2f9,,2025-11-15T00:54:21.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Tu misterioso alguien,2025-11-15T00:55:20.000Z
j1k7plea5,,,13:45 Sólo tus Canciones - Daniela Herrero - Mariu la Queen Serrano,2025-11-15T11:17:04.000Z,6/11/2025,2LbnV-Wss4g,,,,,,,,DRAFT,,13:45 Sólo tus Canciones - Daniela Herrero - Mariu la Queen Serrano,2025-11-15T11:17:04.000Z
j1mvf6htv,Patricio Rey y sus Redonditos de Ricota,cubspd2lh,7:14 - Estás Frito Angelito - Patricio Rey y sus Redonditos de Ricota - Lucas Torres,2025-10-19T00:00:00.000Z,2025-06-05T00:00:00.000Z,0hmxZPp0xq0,Rock,true,false,false,false,false,Estás Frito Angelito,DRAFT,00:07:14,Estás Frito Angelito,2025-11-15T10:18:56.000Z
j1ybh07sl,,CAN-be6d6806-43e0-4a9f-a9bd-9bb56db90f5d,15:10) El anillo del Capitan Beto - Spinetta// Ahi va el capitan Diego - El negro andante,2025-11-17T13:59:59.000Z,2025-10-30T00:00:00.000Z,DLe3hojAro0,,,,,,,,DRAFT,,15:10) El anillo del Capitan Beto - Spinetta// Ahi va el capitan Diego - El negro andante,2025-11-17T13:59:59.000Z
j1yvs1izu,,c92xpioah,16:51 - ESTOY SALIENDO CON UN MAZON (Los sultanes),2025-11-15T00:59:08.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Estoy saliendo con un mason,2025-11-15T00:59:40.000Z
j228pm3uh,,c1b5ti86b,5:40 El loco - Babasónicos // Soy amigo de Scott /Trump // Nico Álvarez,2025-11-15T10:52:55.000Z,2025-10-23T22:26:41.000Z,DBbyI99TtIM,,,,,,,,DRAFT,,Soy amigo de Scott,2025-11-15T10:53:46.000Z
j2472p8fr,,c1uua8142,,2025-11-15T01:01:33.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Soy un adicto al FIT,2025-11-15T01:03:10.000Z
j28nwqyzo,Los Fabulosos Cadillacs,c2lgbes4s,"2:50 - Manuel Santillán, el León - Los Fabulosos Cadillacs - Lucas Niro - cluacas",2025-10-19T00:00:00.000Z,2025-06-04T23:00:00.000Z,0hmxZPp0xq0,Reggae,true,true,false,true,false,"Manuel Santillán, el León",DRAFT,00:02:50,Cluacas en PBA,2025-11-14T00:20:39.000Z
j28uvuzh8,Patricio Rey y sus Redonditos de Ricota,clz30wskt,5:10 - El Infierno Está Encantador Esta Noche - Patricio Rey y sus Redonditos de Ricota - Mati Mowszet & Héctor Camaño - por qué el peaje no pagó,2025-10-19T00:00:00.000Z,2025-06-05T00:00:00.000Z,0hmxZPp0xq0,Rock,true,false,false,true,false,El Infierno Está Encantador Esta Noche,DRAFT,00:05:10,El Infierno Está Encantador Esta Noche,2025-10-22T14:15:44.000Z
j29ejr960,,cg0i7utzn,5:01 - BABASONICOS (Calientes) - MATI DÉJALA MANEJAR,2025-11-14T13:05:00.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Dejala manejar el coche,2025-11-14T13:15:02.000Z
j29g1hi7n,,CAN-8a9053e8-2466-435c-9983-49d87c7efc9b,3:48 ) El amor es mas fuerte - Ulises Butrón// El Diego nunca se vende - Lucas Niro,2025-11-17T13:47:30.000Z,2025-10-30T00:00:00.000Z,DLe3hojAro0,,false,false,false,false,false,,DRAFT,,El Diego nunca se vende,2025-11-17T13:48:42.000Z
j2iw1o9gl,,c1kotwhd2,11:03 - FANTASMAS MIRANDA!,2025-11-15T00:48:19.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Fantasmas,2025-11-15T00:52:50.000Z
j2q4rscer,,CAN-ca9d221f-a02b-4d3b-8d2a-f51c678918c7,11:05 ) Todas las hojas son del viento- Pescado rabioso //Todos los días pienso en Diego- Hernan Lindenbaum y Nacho?,2025-11-17T13:56:56.000Z,2025-10-30T00:00:00.000Z,DLe3hojAro0,,,,,,,,DRAFT,,Todos los días pienso en Diego,2025-11-17T13:56:56.000Z
j355hbbnu,,c2ppaoj9q,08:57 Desfachatados,2025-11-14T14:01:49.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Desfachatados,2025-11-15T00:44:41.000Z
j5hrxjtsj,,,10:49 Tortazos - Edmundo Rivero - El Monje Cortoplacista,2025-11-15T11:16:42.000Z,6/11/2025,2LbnV-Wss4g,,,,,,,,DRAFT,,10:49 Tortazos - Edmundo Rivero - El Monje Cortoplacista,2025-11-15T11:16:42.000Z
j846ma9g5,,c1ju79w77,22:57 Axel (?),2025-11-15T01:08:14.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Yo quiero ser Sherlock Holmes,2025-11-15T01:10:36.000Z
j95ixwnum,,c2nqwmhxp,"3:44 Yendo a la casa de Damián - El Cuarteto de Nos // Humillado en la white house, soy la p*** de Donald Trump - FONAMOR",2025-10-22T14:40:26.000Z,2025-10-23T22:26:41.000Z,DBbyI99TtIM,,true,false,false,false,false,,DRAFT,00:03:44,"Humillado en la White House, soy la p*** de Donald Trump",2025-11-14T02:31:50.000Z
jgxej3kih,,cf9orfliz,,2025-11-15T10:23:57.000Z,26/06/2023,t4xLg702Yn0,,,,,true,,,DRAFT,,Juan Grabois / Kicillof,2025-11-15T10:32:17.000Z
jhvcqfy6i,,c1i50dgbx,2:55 - RATA BLANCA,2025-11-14T11:58:16.000Z,13/11/2025,7JJuJ59DxUw,,,,,,,,DRAFT,,Embajador paspado,2025-11-14T13:36:36.000Z
jl9yy8k9s,,c1nn2vm4r,17:54 Pokémon Opening (Maslaton) - Nico Díaz ,2025-11-15T11:17:23.000Z,6/11/2025,2LbnV-Wss4g,,,,,,,,DRAFT,,17:54 Pokémon Opening (Maslaton) - Nico Díaz ,2025-11-15T11:17:23.000Z
jof56g6vj,,c1919phir,4:38 Pila Pila - Intoxicados - Pedrillom,2025-11-15T11:14:33.000Z,6/11/2025,2LbnV-Wss4g,,,,,,,,DRAFT,,Pina pina,2025-11-15T11:15:03.000Z
jvfgq2z9f,,CAN-73b99cf9-4c19-4de0-8663-0d9db836fe99,20:00 Starman - David Bowie - Dijo Feinmann,2025-11-15T11:17:44.000Z,6/11/2025,2LbnV-Wss4g,,false,true,false,false,false,,DRAFT,,Dijo Feinmann,2025-11-17T15:06:03.000Z
jyebp014e,,c2klrfcch,8:47 Torero - Chayanne - Juan Stagno,2025-11-15T11:16:10.000Z,6/11/2025,2LbnV-Wss4g,,,,,,,,DRAFT,,8:47 Torero - Chayanne - Juan Stagno,2025-11-15T11:16:17.000Z
