:START_ID,:END_ID,createdAt,status
a16gvyq59,c16ltomy4,,CONFIRMED
a16gvyq59,c1m53rgrg,,CONFIRMED
a16icdw84,c2idg5x12,,
a180jj4qa,c2a8bze2t,,
a19coe3rv,c2ivbsmdz,,
a1izpvy7m,c1b5ti86b,,DRAFT
a1izpvy7m,c2ppaoj9q,,CONFIRMED
a1izpvy7m,cg0i7utzn,,
a1l7mgjt8,c1kotwhd2,,
a1l7mgjt8,c27jzw2f9,,DRAFT
a1mtktmuk,c2ivbsmdz,,
a1uvuqjpe,c2krubxbm,,
a1y9qdqpu,c16ltomy4,,
a211fnxin,c1i50dgbx,,DRAFT
a22mtc7lj,c1pyuqnip,2025-10-19T00:00:00.000Z,DRAFT
a2bvkc7hx,co1z6wxpb,,DRAFT
a2e542sd0,c1ju79w77,,
a2h21dmnz,c2pfcm1dh,,
a2h45fd2m,c1o9kaya5,,
a2kvpvg7s,c92xpioah,,
a2oqqk8ll,c2lgbes4s,2025-10-19T00:00:00.000Z,CONFIRMED
ab8tl8l1r,c2nqwmhxp,,DRAFT
afv2zlhpn,cf9orfliz,,
agomdv2a8,clz30wskt,2025-10-19T00:00:00.000Z,CONFIRMED
agomdv2a8,cubspd2lh,2025-10-19T00:00:00.000Z,DRAFT
aj8ofnmz3,c2klrfcch,,
ajpvreajl,c1fqz1pnw,,
an5gwxyf6,c1iw605tv,,
anw11rb0s,c1919phir,,
auz8wltoz,cq8eiohvu,,
aw50cutdw,c1uua8142,,
ax4z6b4j4,c1wfhml59,,DRAFT
azx3r1oin,c1ip5glun,,
