:START_ID,:END_ID,isPrimary:boolean
j12fdsh6f,t1bqeluxk,true
j1anqw115,t1fr6i97z,
j1anqw115,t9o4yhrxh,
j1gt3d6d3,t104ajike,
j1gt3d6d3,tkreccnq6,
j1mvf6htv,thwnu2c9d,false
j1mvf6htv,tjg5ri7vt,true
j1ybh07sl,t1f96htzg,true
j28nwqyzo,t1y2dulfs,true
j28nwqyzo,tqy9vx316,false
j28uvuzh8,t2curperk,false
j28uvuzh8,tf1uuqb7j,true
j29ejr960,t24cbrdfg,false
j29ejr960,t2m2j8076,
j29ejr960,tkhd3umhi,true
j29g1hi7n,t1f96htzg,
j95ixwnum,t2hofozxn,false
jhvcqfy6i,tq7td517y,
jl9yy8k9s,t29doeord,true
jof56g6vj,ty2ux6e1k,
jvfgq2z9f,t229ay0u3,
jyebp014e,t1bqeluxk,false
